x_edge_location,sc_bytes,c_ip,cs_method,cs_host,cs_uri_stem,sc_status,cs_referer,cs_user_agent,cs_uri_query,cs_cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end,timestamp
FFD231-E7,12252,193.162.25.12,DELETE,d8bnainxtot1t.cloudfront.net,/blog/machine-learning-ops-mldata,200,nan,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/535.43.7 (KHTML, like Gecko) Version/4.1 Safari/535.43.7",,16e5b8a479c9547f30f97a85d4ee8928,Hit,5d8efe43-acb7-4f29-a771-0a60a92308dd,archivesnationales-ht.com,HTTPS,2201,0.653,45.210.72.133,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,Failed,nan,56240,0.006,BadGateway,text/html,289207,,,2025-07-15 23:54:38
EAE944-E3,3907,166.123.84.71,GET,d8bnainxtot1t.cloudfront.net,/blog/data-governance-best-practices,403,http://www.jones.com/wp-content/blogcategory.htm,Mozilla/5.0 (Android 2.2.2; Mobile; rv:16.0) Gecko/16.0 Firefox/16.0,,68ca8534e62b757d2491f78c664c7504,Error,286797f2-c9a3-4682-bd74-d2d57a8cd060,archivesnationales-ht.com,HTTPS,2614,1.153,123.8.161.30,None,None,Hit,HTTP/1.1,Failed,nan,60695,0.679,Error,text/css,329342,,,2025-07-15 17:14:57
ECF560-E4,61153,76.112.219.60,DELETE,d8bnainxtot1t.cloudfront.net,/about,404,http://chapman.com/blog/tags/tagauthor.html,"Mozilla/5.0 (Windows CE) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/16.0.856.0 Safari/534.1",faq,b6525b98900b65370e684aafb98333ea,Hit,cd4faaba-29f1-4303-98d8-1d7750e8ef8f,archivesnationales-ht.com,HTTPS,513,0.896,201.147.101.187,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,,nan,29956,0.59,Miss,text/html,321174,,,2025-07-15 16:16:00
ECB199-E8,53518,212.138.104.72,DELETE,d8bnainxtot1t.cloudfront.net,/blog/data-governance-frameworks,200,https://www.erickson.org/posts/list/categoriesregister.asp,Opera/8.73.(Windows NT 5.01; hak-TW) Presto/2.9.168 Version/11.00,register,nan,Miss,02616c5d-ff4b-4fa2-b99a-2840fe8ba576,archivesnationales-ht.com,HTTPS,3390,0.438,28.252.130.212,TLSv1.2,AES256-GCM-SHA384,Hit,HTTP/1.1,,suggest,44270,0.906,BadGateway,application/javascript,350889,,,2025-07-15 07:13:55
FFB879-E8,46262,150.51.158.144,POST,d8bnainxtot1t.cloudfront.net,/blog/data-integration-strategies,500,https://www.jones.com/explore/explorelogin.php,"Mozilla/5.0 (iPad; CPU iPad OS 4_3_5 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/48.0.893.0 Mobile/78Y393 Safari/531.0",,df4db1882c0867897e67d4e427816af1,Error,9edff061-f301-4067-9a44-fd549bff9161,archivesnationales-ht.com,HTTPS,592,1.2,192.225.42.181,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,Hit,HTTP/1.1,Processed,nan,17300,0.061,Miss,image/jpeg,379600,,1511,2025-07-15 15:33:02
AAA221-E5,61493,165.101.162.220,GET,d8bnainxtot1t.cloudfront.net,/blog/cloud-data-platforms-aws-azure-gcp,200,http://www.kim.com/categoriespost.asp,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1 rv:2.0; wae-CH) AppleWebKit/534.35.1 (KHTML, like Gecko) Version/5.0 Safari/534.35.1",about,ce1418d9406f76dc16b0986085f054e0,LimitExceeded,79a04473-7d31-4773-b470-039c7a5f457e,archivesnationales-ht.com,HTTPS,4608,1.492,214.126.151.104,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,LimitExceeded,HTTP/1.1,,nan,43491,0.086,LambdaExecutionError,text/html,440230,,,2025-07-15 16:00:06
BAE028-E6,50645,53.59.170.210,POST,d8bnainxtot1t.cloudfront.net,/blog/time-series-data-processing,500,https://douglas.com/tag/tags/wp-contentprivacy.html,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/57.0.877.0 Safari/536.0",,4971e9b29faa47336341087d0bfb6910,Error,ead86aae-6eae-47e5-8aa7-8e7fb37a5756,archivesnationales-ht.com,HTTPS,537,0.952,nan,None,AES256-GCM-SHA384,Error,HTTP/1.1,Processed,lose,48877,0.867,Hit,image/jpeg,217214,,,2025-07-15 16:38:27
CCD838-E8,69290,206.43.123.126,PUT,d8bnainxtot1t.cloudfront.net,/blog/cloud-data-platforms-aws-azure-gcp,404,https://www.rios.biz/main/main/postsabout.php,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_2_2 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/16.2y6318.0 Mobile/93K739 Safari/532.2",,nan,LimitExceeded,15f3a9be-8a7f-41c7-87cc-111603a2a6d1,archivesnationales-ht.com,HTTPS,2909,1.819,nan,None,AES256-GCM-SHA384,Hit,HTTP/2.0,,nan,5089,0.92,Error,image/jpeg,55281,972,1884,2025-07-15 15:34:50
ACB712-E9,53436,86.50.240.74,OPTIONS,d8bnainxtot1t.cloudfront.net,/blog/dataops-principles-practice,200,http://hardy.net/explore/wp-contentmain.htm,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_9 rv:6.0; ik-CA) AppleWebKit/534.46.6 (KHTML, like Gecko) Version/4.0.2 Safari/534.46.6",faq,1dded38ea48c5ec2351ff2f218551966,LimitExceeded,0d49cc3d-feb1-4a3a-b060-81fb95aedebc,archivesnationales-ht.com,HTTPS,3421,0.571,182.164.8.70,TLSv1.3,AES256-GCM-SHA384,Error,HTTP/1.1,Failed,nan,32756,0.274,Hit,text/css,244795,,1852,2025-07-15 09:11:43
EDD527-E2,32997,161.226.197.127,GET,d8bnainxtot1t.cloudfront.net,/blog/monitoring-data-pipelines,301,nan,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/4.0),,nan,Error,03e9642b-51eb-472c-b7ed-0a41d9b3468c,archivesnationales-ht.com,HTTPS,1593,1.547,76.131.102.15,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,LimitExceeded,HTTP/2.0,,nan,42971,0.636,Miss,application/json,118067,481,1242,2025-07-15 00:03:52
DDB732-E8,80335,218.253.142.18,OPTIONS,d8bnainxtot1t.cloudfront.net,/blog/data-pipeline-orchestration-tools,200,http://www.harvey.com/app/tags/tagsprivacy.htm,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; fy-DE) AppleWebKit/534.27.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6534.27.3",,ab8f7dc82aab47d6921875b607c65d86,LimitExceeded,82d6e69a-0d22-4d89-9c3c-8bad56b22af7,archivesnationales-ht.com,HTTPS,884,2.174,161.138.189.231,TLSv1.2,AES256-GCM-SHA384,Miss,HTTP/1.1,Failed,few,43948,0.132,BadGateway,application/json,380953,,,2025-07-15 00:33:48
FBF130-E6,52234,184.23.110.180,GET,d8bnainxtot1t.cloudfront.net,/blog/data-mesh-architecture,403,http://harris.com/tag/wp-content/wp-contentterms.htm,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/3.1),,nan,LimitExceeded,66e6fcd1-4c43-40b3-a463-52a0c6671c3d,archivesnationales-ht.com,HTTPS,4159,1.076,nan,None,AES256-GCM-SHA384,Hit,HTTP/2.0,,nan,55683,0.712,LambdaExecutionError,image/jpeg,410608,,,2025-07-15 02:18:06
CCA621-E0,94893,159.108.19.87,DELETE,d8bnainxtot1t.cloudfront.net,/blog/time-series-data-processing,200,https://www.jones-ponce.biz/categoriesindex.html,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.0),,202cc85ef5890f025f3b1bd58ed17973,Hit,d31ee484-ba66-418e-8c6a-a10aab23448e,archivesnationales-ht.com,HTTP,2593,0.33,89.12.170.118,None,None,LimitExceeded,HTTP/1.1,,nan,53069,0.43,BadGateway,application/json,389218,,1938,2025-07-15 04:20:53
ABA618-E2,92673,62.105.179.95,PUT,d8bnainxtot1t.cloudfront.net,/blog/cost-optimization-cloud-data,200,http://www.richards.org/tags/listpost.html,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/7930-07-20 13:53:56.133270 Firefox/3.6.3,,189262cabb5c39e811ed0bb5ec57b627,Hit,12faddb5-c682-4eb7-ad45-dfb75bda7401,archivesnationales-ht.com,HTTPS,4662,0.675,220.174.208.6,None,None,Hit,HTTP/1.1,Processed,nan,56136,0.471,Hit,application/json,156708,,,2025-07-15 16:06:38
CBF830-E8,73933,54.246.116.92,GET,d8bnainxtot1t.cloudfront.net,/blog/data-pipeline-orchestration-tools,200,https://www.frazier-horn.com/app/categoriessearch.htm,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/17.0l4983.0 Mobile/08V593 Safari/533.1",category,nan,Error,442273dd-c86d-4445-91db-4561e6fc07a2,archivesnationales-ht.com,HTTPS,1317,2.206,121.54.90.161,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,Hit,HTTP/2.0,Failed,nan,10444,0.47,Error,image/jpeg,374297,429,,2025-07-15 18:33:00
FFC221-E8,86906,37.152.89.113,OPTIONS,d8bnainxtot1t.cloudfront.net,/blog/data-privacy-regulations-gdpr,403,https://briggs.biz/tag/categories/mainsearch.htm,Opera/8.30.(Windows 98; bhb-IN) Presto/2.9.172 Version/12.00,,nan,LimitExceeded,c139bdeb-a0f5-490f-b3f1-0f30380c72c4,archivesnationales-ht.com,HTTPS,1149,1.608,220.22.219.180,TLSv1.3,AES256-GCM-SHA384,LimitExceeded,HTTP/1.1,Processed,economy,46273,0.615,Error,text/html,142640,622,,2025-07-15 02:41:05
DBA879-E8,38110,223.195.61.192,HEAD,d8bnainxtot1t.cloudfront.net,/blog/data-virtualization-use-cases,200,http://www.rios-boyer.info/wp-content/listabout.asp,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/3.1),,fab8de253148d97bd330267af13ffd2f,Miss,8cbfd884-4744-4c54-ab9d-277070702378,archivesnationales-ht.com,HTTPS,546,0.485,218.197.161.197,None,AES256-GCM-SHA384,LimitExceeded,HTTP/2.0,Failed,newspaper,5957,0.739,LambdaExecutionError,application/javascript,227263,,,2025-07-15 00:45:41
ABF926-E9,22291,170.32.147.156,DELETE,d8bnainxtot1t.cloudfront.net,/blog/data-security-encryption,500,http://www.douglas.com/category/categoryhomepage.html,Opera/8.10.(X11; Linux i686; yue-HK) Presto/2.9.165 Version/10.00,,nan,Error,7ccc1fd4-1731-4c88-b994-663379de0933,archivesnationales-ht.com,HTTPS,3809,1.689,nan,TLSv1.2,AES256-GCM-SHA384,Error,HTTP/2.0,,very,39887,0.899,Hit,application/json,266698,,1685,2025-07-15 22:55:39
BCD208-E3,56304,209.13.131.46,HEAD,d8bnainxtot1t.cloudfront.net,/blog/graph-databases-data-engineering,404,http://www.bryant-davis.biz/exploremain.html,Opera/8.16.(Windows NT 4.0; mn-MN) Presto/2.9.186 Version/10.00,,bac0df9ed53de4e8b03560e52637ae33,Error,f09b1564-62d2-4d12-aa77-440952088440,archivesnationales-ht.com,HTTPS,4359,2.115,4.47.134.83,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,LimitExceeded,HTTP/1.1,Failed,nan,38859,0.809,LambdaExecutionError,application/json,241801,412,,2025-07-15 18:58:48
FBF736-E4,3498,110.6.132.133,GET,d8bnainxtot1t.cloudfront.net,/blog/change-data-capture-cdc,404,http://www.horne.com/exploreprivacy.html,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/37.0.883.0 Safari/533.2",,fe11e00bbc8254980d251f77d65b69e6,LimitExceeded,81f96c99-ba65-44cb-a7d4-432ea65ece7f,archivesnationales-ht.com,HTTPS,1898,1.54,200.191.21.217,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,LimitExceeded,HTTP/1.1,Failed,nan,41665,0.511,LambdaExecutionError,application/javascript,129791,366,,2025-07-15 00:49:06
BED003-E9,24851,203.141.214.197,POST,d8bnainxtot1t.cloudfront.net,/blog/cloud-data-platforms-aws-azure-gcp,200,http://wilson.info/category/tags/appregister.php,Opera/9.21.(X11; Linux i686; crh-UA) Presto/2.9.180 Version/11.00,,nan,Hit,c3225039-f32d-4305-bab1-97a994a62bbf,archivesnationales-ht.com,HTTPS,3779,2.002,nan,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/2.0,Processed,everyone,41228,0.015,Error,text/html,118999,726,1597,2025-07-15 17:06:03
ABB407-E1,20733,212.176.20.65,DELETE,d8bnainxtot1t.cloudfront.net,/blog/realtime-dashboards-data,403,nan,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/12.8u7220.0 Mobile/95J767 Safari/536.2",,86868425cdb08bc5aeb0cc43c020691f,Hit,d0f35d56-8596-4cf1-a951-94faff6eae85,archivesnationales-ht.com,HTTPS,587,0.625,201.92.229.120,TLSv1.2,AES256-GCM-SHA384,Error,HTTP/1.1,Failed,nan,58058,0.828,Error,application/javascript,152836,362,,2025-07-15 11:54:00
BBC391-E4,15895,90.124.183.45,POST,d8bnainxtot1t.cloudfront.net,/blog/introduction-to-airflow-dags,200,http://harris.com/exploremain.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/12.5m0578.0 Mobile/51Z830 Safari/535.0",,nan,Miss,edabc5d7-c35f-4354-946f-842543b608ab,archivesnationales-ht.com,HTTPS,2743,0.259,119.143.16.86,None,None,Hit,HTTP/1.1,Processed,nan,13401,0.54,Error,application/javascript,342554,278,,2025-07-15 20:47:37
CBC835-E5,78170,150.185.61.149,DELETE,d8bnainxtot1t.cloudfront.net,/blog/building-data-pipelines-python,200,http://green-terry.info/explore/postsprivacy.asp,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:3.0; hi-IN) AppleWebKit/533.19.1 (KHTML, like Gecko) Version/5.1 Safari/533.19.1",home,71fb65af29a0bc8f27ce0ac1372d3f32,Hit,811876e4-1531-4299-92b8-c7720f38767d,archivesnationales-ht.com,HTTPS,2825,1.219,104.118.198.6,None,ECDHE-RSA-AES128-GCM-SHA256,Hit,HTTP/1.1,Failed,nan,5341,0.527,LambdaExecutionError,application/javascript,55790,,,2025-07-15 18:44:49
AAE571-E6,20330,58.200.97.15,GET,d8bnainxtot1t.cloudfront.net,/blog/data-lake-security-best-practices,404,https://www.benjamin.com/main/categoryprivacy.php,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/47.0.834.0 Safari/534.1",,1234c25aa28d545cdacee86a0df1484f,LimitExceeded,918017ee-6d15-4835-a32a-a5ccdac79b34,archivesnationales-ht.com,HTTPS,2595,1.701,8.32.215.22,TLSv1.2,AES256-GCM-SHA384,LimitExceeded,HTTP/1.1,,nan,58495,0.756,BadGateway,text/css,265240,,1574,2025-07-15 14:48:49
DAC213-E6,40939,222.189.47.109,GET,d8bnainxtot1t.cloudfront.net,/blog/search,404,http://www.allen.info/tag/search/blogfaq.htm,Opera/9.61.(Windows 98; kw-GB) Presto/2.9.179 Version/12.00,,nan,Miss,d40ec84d-b273-4294-8198-f0a4a31bba42,archivesnationales-ht.com,HTTPS,903,1.967,160.216.242.113,TLSv1.3,None,LimitExceeded,HTTP/1.1,Processed,career,11090,0.131,Error,text/css,388571,,1328,2025-07-15 00:31:19
BDA595-E7,284,196.221.132.151,DELETE,d8bnainxtot1t.cloudfront.net,/blog/data-lineage-tracking,301,http://www.wood.biz/posts/tags/postsprivacy.jsp,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/534.18.2 (KHTML, like Gecko) Version/5.0.5 Safari/534.18.2",post,32d4ad201c9b82a2667be6eff49de1c3,LimitExceeded,e7ba4c3a-3d85-436c-accb-501d633a6436,archivesnationales-ht.com,HTTPS,248,1.897,219.110.41.94,None,AES256-GCM-SHA384,Miss,HTTP/1.1,,school,11401,0.349,LambdaExecutionError,text/html,430297,,,2025-07-15 02:04:53
EBC552-E4,52899,207.86.84.223,GET,d8bnainxtot1t.cloudfront.net,/blog/nosql-databases-data-engineering,301,https://miller-lawrence.net/taghome.html,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/8146-11-07 23:23:55.659760 Firefox/12.0,register,8c0415ec9702aeffdc8e965f55c955e3,Error,0613501b-048c-4795-af7e-fb9bc9666d0f,archivesnationales-ht.com,HTTPS,1156,1.774,nan,TLSv1.3,None,LimitExceeded,HTTP/1.1,Failed,nan,56628,0.636,Error,text/html,41693,,1447,2025-07-15 07:23:26
CBC440-E7,77872,208.252.233.135,POST,d8bnainxtot1t.cloudfront.net,/blog/time-series-data-processing,404,http://trujillo.net/listcategory.htm,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; km-KH) AppleWebKit/532.10.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6532.10.6",login,07fd1ba38217e7c6738af3e9f7fc924c,LimitExceeded,7a7156ce-2ce2-4126-82ca-ae83f2493fbd,archivesnationales-ht.com,HTTPS,3681,1.773,167.47.202.203,None,None,Error,HTTP/1.1,Processed,nan,47932,0.183,Miss,application/json,224668,,1827,2025-07-15 05:40:16
CEC641-E4,89686,63.229.136.195,HEAD,d8bnainxtot1t.cloudfront.net,/blog/what-is-data-engineering,200,nan,Opera/9.88.(Windows 98; Win 9x 4.90; ja-JP) Presto/2.9.179 Version/11.00,,a14e63dcb0ebb937733bb51894c00019,Error,e76d4ae0-e3d0-4bdf-92b6-3a9f5fb3cef0,archivesnationales-ht.com,HTTPS,1190,0.535,136.246.235.220,None,AES256-GCM-SHA384,Error,HTTP/1.1,Processed,use,33348,0.93,Miss,image/jpeg,150300,,1304,2025-07-15 20:20:21
CEC910-E4,6020,200.130.200.148,DELETE,d8bnainxtot1t.cloudfront.net,/blog/nosql-databases-data-engineering,403,http://wilcox-christensen.biz/category/blog/exploreauthor.html,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2664-01-25 08:32:06.521259 Firefox/3.6.14,privacy,nan,LimitExceeded,0f3f3f22-5531-4af8-8b8a-54d03f58d720,archivesnationales-ht.com,HTTPS,1067,0.373,186.76.22.120,TLSv1.3,None,Error,HTTP/1.1,,nan,3946,0.355,Miss,application/json,107527,,,2025-07-15 19:15:45
AEA446-E6,75123,161.165.89.198,HEAD,d8bnainxtot1t.cloudfront.net,/blog/cloud-data-platforms-aws-azure-gcp,404,http://www.allen.com/exploreterms.jsp,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/19.0.814.0 Safari/532.0",,nan,Miss,831531d4-7961-443c-9ef9-2563c7244abd,archivesnationales-ht.com,HTTPS,1942,0.272,nan,TLSv1.3,AES256-GCM-SHA384,LimitExceeded,HTTP/1.1,Processed,nan,8235,0.112,Hit,application/json,331679,,,2025-07-15 04:34:35
CBA881-E8,42959,191.30.79.56,OPTIONS,d8bnainxtot1t.cloudfront.net,/blog,200,https://www.reyes.org/wp-contenthome.htm,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/533.3.1 (KHTML, like Gecko) Version/4.1 Safari/533.3.1",main,4962db571d0520bdea813fc49fb9eaa2,Hit,353d756f-656a-4fd5-ab34-0d04b60ce4b8,archivesnationales-ht.com,HTTPS,1779,0.88,nan,None,ECDHE-RSA-AES128-GCM-SHA256,LimitExceeded,HTTP/1.1,Processed,nan,28931,0.824,Miss,text/html,176855,,,2025-07-15 17:40:50
CBB154-E5,28442,173.249.74.123,DELETE,d8bnainxtot1t.cloudfront.net,/blog/data-governance-frameworks,404,https://www.kim.info/appabout.htm,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/5504-06-15 19:14:24.913742 Firefox/3.6.12,privacy,21256d03c44b9bd50e52fd0869baf476,LimitExceeded,1b944a52-4945-4155-b3de-da2fb8e2f3bf,archivesnationales-ht.com,HTTPS,1537,1.206,197.25.115.123,TLSv1.2,None,Error,HTTP/1.1,Processed,nan,39168,0.649,Error,application/json,90113,,,2025-07-15 23:30:34
EEB864-E5,62939,199.21.148.26,POST,d8bnainxtot1t.cloudfront.net,/blog/columnar-databases-analytics,301,http://morgan.com/categories/posts/listpost.htm,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 11.0; Trident/4.1),,b918e14d81df7f087e90a703bcf0f323,Error,5cdbc122-4bc1-4e59-89a3-613c99690d08,archivesnationales-ht.com,HTTPS,2732,1.642,216.205.220.111,TLSv1.2,None,Miss,HTTP/1.1,,vote,47358,0.828,Error,text/css,228965,523,,2025-07-15 19:52:46
